Model,AUC,PR_AUC,Brier,LogLoss,Precision,Recall,F1,Accuracy,Sensitivity,Specificity,Youdens_J
probit,0.7918526785714286,0.16194376649164777,0.09533493691299544,0.2895951779399436,0.1276595744680851,0.8571428571428571,0.2222222222222222,0.6888888888888889,0.8571428571428571,0.6796875,0.5368303571428572
random_forest,0.7159598214285714,0.15902404231923684,0.05903582515682355,0.21700842157877615,0.07692307692307693,0.7142857142857143,0.1388888888888889,0.5407407407407407,0.7142857142857143,0.53125,0.2455357142857144
xgboost,0.8030133928571429,0.2758996159730429,0.06659447265696855,0.2549902454336864,0.058333333333333334,1.0,0.11023622047244094,0.16296296296296298,1.0,0.1171875,0.1171875
markov_switching,0.5,0.05185185185185185,0.25,0.6931471805599454,0.05185185185185185,1.0,0.09859154929577464,0.05185185185185185,1.0,0.0,0.0
hamilton_benchmark,0.6590401785714285,0.1883116883116883,0.04875577777777777,0.20807759002247772,0.18181818181818182,0.2857142857142857,0.2222222222222222,0.8962962962962963,0.2857142857142857,0.9296875,0.2154017857142856
chauvet_piger_benchmark,0.6160714285714286,0.1738873327108621,0.050679909037037035,0.24007010869979664,0.5,0.14285714285714285,0.2222222222222222,0.9481481481481482,0.14285714285714285,0.9921875,0.1350446428571428
wright_probit,0.5613839285714286,0.06389224524347552,0.19423157073001443,0.5744682912356722,0.05185185185185185,1.0,0.09859154929577464,0.05185185185185185,1.0,0.0,0.0
ensemble_raw,0.7371651785714286,0.18753731008321545,0.05427786665032175,0.20350741373823644,0.07692307692307693,0.5714285714285714,0.13559322033898305,0.6222222222222222,0.5714285714285714,0.625,0.1964285714285714
ensemble,0.7371651785714286,0.18753731008321545,0.05169001962130159,0.30996778511012046,0.2,0.14285714285714285,0.16666666666666666,0.9259259259259259,0.14285714285714285,0.96875,0.1116071428571428
