Date,Label,Revised_Prob,Vintage_Prob,Difference,Columns_Replaced_With_ALFRED,Revised_Threshold,Vintage_Threshold
2007-06,Pre-GFC,0.5477080745180471,0.04013762475934345,0.5075704497587037,16,0.41,0.33
2007-12,GFC peak month,0.6119184344505862,0.08860832223607407,0.5233101122145122,16,0.35,0.25
2019-12,Pre-COVID,0.0002757471584011036,0.02118256444712457,-0.020906817288723466,18,0.14,0.35
2020-03,COVID shock month,0.001461295597085169,0.013568579378440788,-0.012107283781355619,18,0.11,0.18
2024-06,Recent cycle,0.15237001698364214,0.16230103125523454,-0.009931014271592403,18,0.33,0.49
