Recession,Train_End,Test_Months,Recession_Months,AUC,Brier,Peak_Prob,Peak_Date,Crossed_Threshold,Threshold,Lead_Months,Ensemble_Weights,Peak_probit,Peak_random_forest,Peak_xgboost
Volcker I (1980),1979-01,30,16,0.5,0.37334104938271595,0.18055555555555555,1979-01,True,0.1,6.964520367936925,"{'probit': 0.5, 'xgboost': 0.5}",0.2333333333333333,0.2333333333333333,0.23333333134651185
S&L Crisis (1990-91),1989-07,32,13,0.6821862348178138,0.2562346648164232,0.29200669341599966,1990-10,True,0.25,6.964520367936925,"{'probit': 0.5, 'random_forest': 0.5}",0.317948717948718,0.2782186234817814,0.27179488018155096
Dot-com (2001),2000-03,32,13,0.5688259109311741,0.2744994156497307,0.283996373996374,2001-09,True,0.23,6.044678055190539,"{'probit': 0.5, 'random_forest': 0.5}",0.2578787878787879,0.3101139601139601,0.19059382155537605
GFC (2007-09),2006-12,42,23,0.6247139588100686,0.26336952928605895,0.5663745714119837,2008-10,True,0.19,2.0039421813403417,"{'probit': 0.5, 'xgboost': 0.5}",0.5424371294213862,0.5995482086406744,0.5903120134025812
COVID (2020),2019-02,26,7,0.2518796992481203,0.221914148643177,0.3810632889839568,2020-06,True,0.3,-6.011826544021025,"{'probit': 0.5, 'xgboost': 0.5}",0.3628882653903284,0.365891457993509,0.4040759652853012
