Model,AUC,PR_AUC,Brier,LogLoss,Precision,Recall,F1,Accuracy,Sensitivity,Specificity,Youdens_J
probit,0.40832395950506184,0.05473131149822878,0.08417597359426754,0.3206661600319995,0.024390243902439025,0.14285714285714285,0.041666666666666664,0.6567164179104478,0.14285714285714285,0.6850393700787402,-0.17210348706411693
random_forest,0.2829021372328459,0.05159158027714829,0.09399183504151547,0.3478878026425546,0.022727272727272728,0.14285714285714285,0.0392156862745098,0.6343283582089553,0.14285714285714285,0.6614173228346457,-0.19572553430821138
xgboost,0.3661417322834646,0.056124925007903725,0.10010679513556542,0.36383710336390174,0.013513513513513514,0.14285714285714285,0.024691358024691357,0.41044776119402987,0.14285714285714285,0.4251968503937008,-0.4319460067491563
ensemble,0.33520809898762655,0.05331170050508534,0.09079880158292265,0.3405197309094023,0.023809523809523808,0.14285714285714285,0.04081632653061224,0.6492537313432836,0.14285714285714285,0.6771653543307087,-0.17997750281214842
