Model,AUC,PR_AUC,Brier,LogLoss,Precision,Recall,F1,Accuracy,Sensitivity,Specificity,Youdens_J
probit,0.7148481439820022,0.21085474808879065,0.06921149635188646,0.24236477669021372,0.125,0.2857142857142857,0.17391304347826086,0.8582089552238806,0.2857142857142857,0.889763779527559,0.17547806524184484
random_forest,0.5314960629921259,0.12116436451283952,0.05260269151705811,0.6635361969416612,0.5,0.14285714285714285,0.2222222222222222,0.9477611940298507,0.14285714285714285,0.9921259842519685,0.1349831271091113
xgboost,0.5067491563554555,0.12064676616915422,0.0578355169618909,0.6817697776681715,0.2,0.14285714285714285,0.16666666666666666,0.9253731343283582,0.14285714285714285,0.968503937007874,0.11136107986501687
markov_switching,0.6361079865016873,0.08265918980204695,0.15266096252239444,0.4157871732300666,0.02702702702702703,0.14285714285714285,0.045454545454545456,0.6865671641791045,0.14285714285714285,0.7165354330708661,-0.140607424071991
ensemble,0.6946006749156356,0.1929565292541699,0.05481536567948316,0.21677792277798183,0.4,0.2857142857142857,0.3333333333333333,0.9402985074626866,0.2857142857142857,0.9763779527559056,0.26209223847019114
