Recession,Train_End,Test_Months,Recession_Months,AUC,Brier,Peak_Prob,Peak_Date,Crossed_Threshold,Threshold,Lead_Months,Ensemble_Weights,Peak_probit,Peak_random_forest,Peak_xgboost,Peak_markov_switching
Volcker I (1980),1979-01,30,16,0.9151785714285714,0.27385799937611477,0.4,1980-02,True,0.26,6.044678055190539,"{'random_forest': 0.5, 'probit': 0.5}",0.4,0.4,0.23333333134651185,0.4418604651162791
S&L Crisis (1990-91),1989-07,32,13,0.9089068825910931,0.1237628623406049,0.7801339143687595,1989-10,True,0.44,6.964520367936925,"{'probit': 0.5, 'random_forest': 0.5}",0.5700000000000001,0.6,0.34769231379032134,0.6
Dot-com (2001),2000-03,32,13,0.8846153846153847,0.2948067675041701,0.1875,2000-08,False,0.35,,"{'probit': 0.5, 'random_forest': 0.5}",0.26111111111111107,0.15833333333333333,0.22222222238779069,0.6052631578947368
GFC (2007-09),2006-12,42,23,0.9977116704805492,0.09239589381457103,0.6878011204481792,2008-02,True,0.34,4.0078843626806835,"{'probit': 0.5, 'random_forest': 0.5}",0.75,0.6256022408963584,0.5083333402872086,0.6111111111111112
COVID (2020),2019-02,26,7,0.7293233082706767,0.20680984952000347,0.7443181818181819,2020-03,True,0.42,-6.011826544021025,"{'probit': 0.5, 'random_forest': 0.5}",0.8,0.6886363636363637,0.6625,0.6888888888888889
