Recession,Train_End,Test_Months,Recession_Months,AUC,Brier,Peak_Prob,Peak_Date,Crossed_Threshold,Threshold,Lead_Months,Ensemble_Weights,Peak_probit,Peak_random_forest,Peak_xgboost,Peak_markov_switching
Volcker I (1980),1979-01,30,16,0.8705357142857143,0.316421747065606,0.4,1980-02,True,0.16,6.964520367936925,"{'random_forest': 0.5, 'probit': 0.5}",0.4,0.4,0.23333333134651185,0.4418604651162791
S&L Crisis (1990-91),1989-07,32,13,0.9149797570850202,0.14019973703130023,0.894140271411856,1990-09,True,0.18,3.9421813403416555,"{'probit': 0.5, 'random_forest': 0.5}",0.5733333333333334,0.6,0.341025647521019,0.6
Dot-com (2001),2000-03,32,13,0.8076923076923078,0.3280608888032337,0.18095238095238095,2000-08,False,0.32,,"{'probit': 0.5, 'random_forest': 0.5}",0.2447829883939523,0.13333333333333333,0.15666667222976685,0.6052631578947368
GFC (2007-09),2006-12,42,23,0.9977116704805492,0.07565320743140316,0.7691131974365064,2007-11,True,0.36,2.0039421813403417,"{'probit': 0.5, 'random_forest': 0.5}",0.8400000000000001,0.6982263948730129,0.5094301223754882,0.6111111111111112
COVID (2020),2019-02,26,7,0.774436090225564,0.20338851663581717,0.7822087581606891,2020-03,True,0.39,-4.993429697766097,"{'probit': 0.5, 'random_forest': 0.5}",0.8,0.7644175163213781,0.6000000059604644,0.6888888888888889
