Date,Label,Revised_Prob,Vintage_Prob,Difference,Columns_Replaced_With_ALFRED,Revised_Threshold,Vintage_Threshold
2007-06,Pre-GFC,0.3100375948615963,0.06299968355787249,0.24703791130372382,16,0.37,0.19
2007-12,GFC peak month,0.4046305149533325,0.48219172032010355,-0.07756120536677102,16,0.4,0.16
2019-12,Pre-COVID,0.12796204635508862,0.2706003988074055,-0.14263835245231687,18,0.46,0.58
2020-03,COVID shock month,0.15989247311827956,0.043792769643804366,0.1160997034744752,18,0.4,0.47
2024-06,Recent cycle,0.37099792812327237,0.058122655600873124,0.3128752725223992,18,0.52,0.39
