Model,AUC,PR_AUC,Brier,LogLoss,Precision,Recall,F1,Accuracy,Sensitivity,Specificity,Youdens_J
probit,0.7412823397075365,0.2460455028406347,0.07770767691542073,0.25607317287858694,0.11764705882352941,0.2857142857142857,0.16666666666666666,0.8507462686567164,0.2857142857142857,0.8818897637795275,0.16760404949381336
random_forest,0.5433070866141732,0.20398009950248755,0.055053640062322634,0.6703389271044339,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.9104477611940298,0.14285714285714285,0.952755905511811,0.0956130483689539
xgboost,0.5438695163104612,0.21239042880833925,0.05443587284893226,0.5818396498623727,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.917910447761194,0.14285714285714285,0.9606299212598425,0.10348706411698538
markov_switching,0.6361079865016873,0.08265918980204695,0.15266096252239444,0.4157871732300666,0.02702702702702703,0.14285714285714285,0.045454545454545456,0.6865671641791045,0.14285714285714285,0.7165354330708661,-0.140607424071991
ensemble,0.7114735658042745,0.2524687294272548,0.05905321963158377,0.22329590977955813,0.13333333333333333,0.2857142857142857,0.18181818181818182,0.8656716417910447,0.2857142857142857,0.8976377952755905,0.18335208098987632
