Recession,Train_End,Error,Test_Months,Recession_Months,AUC,Brier,Peak_Prob,Peak_Date,Crossed_Threshold,Threshold,Lead_Months,Ensemble_Weights,Peak_probit,Peak_random_forest,Peak_xgboost,Peak_markov_switching
Oil Crisis (1973-75),1972-11,"This solver needs samples of at least 2 classes in the data, but the data contains only one class: np.float64(1.0)",,,,,,,,,,,,,,
Volcker I (1980),1979-01,,30.0,16.0,0.9508928571428571,0.2678508691927501,0.4,1980-02,True,0.17,6.964520367936925,"{'random_forest': 0.5, 'probit': 0.5}",0.4,0.4,0.23333333134651185,0.4418604651162791
Volcker II (1981-82),1980-07,,40.0,21.0,0.9674185463659147,0.20710388090330287,0.5027503606254948,1981-10,True,0.33,6.964520367936925,"{'probit': 0.5, 'random_forest': 0.5}",0.59597691172718,0.4095238095238095,0.38057683780789375,0.47761194029850745
S&L Crisis (1990-91),1989-07,,32.0,13.0,0.9170040485829959,0.1314280851096471,0.7906424271538149,1990-11,True,0.1,6.964520367936925,"{'probit': 0.5, 'random_forest': 0.5}",0.5666666666666667,0.6,0.341025647521019,0.6
Dot-com (2001),2000-03,,32.0,13.0,0.9352226720647774,0.29676909811004737,0.329026919499974,2001-03,False,0.34,,"{'probit': 0.5, 'random_forest': 0.5}",0.44848484848484843,0.20956899051509953,0.22869443893432617,0.6052631578947368
GFC (2007-09),2006-12,,42.0,23.0,0.9954233409610984,0.08954457295508395,0.6902319902319902,2008-02,True,0.46,1.0183968462549278,"{'probit': 0.5, 'random_forest': 0.5}",0.7153846153846154,0.6806986598055291,0.5109133213758469,0.6111111111111112
COVID (2020),2019-02,,26.0,7.0,0.680451127819549,0.21346119773555078,0.7857142857142858,2020-03,True,0.37,-4.993429697766097,"{'probit': 0.5, 'random_forest': 0.5}",0.8,0.7714285714285715,0.5871428549289703,0.6888888888888889
