Date,Label,Revised_Prob,Vintage_Prob,Difference,Columns_Replaced_With_ALFRED,Revised_Threshold,Vintage_Threshold
2007-06,Pre-GFC,0.4640562435429703,0.4094791170631636,0.054577126479806726,16,0.51,0.47
2007-12,GFC peak month,0.7593550798411456,0.6786519343321715,0.08070314550897406,16,0.51,0.37
2019-12,Pre-COVID,0.09974771131898917,0.15183222227835985,-0.05208451095937068,18,0.34,0.26
2020-03,COVID shock month,0.06344165642643033,0.12228920549383286,-0.05884754906740253,18,0.38,0.37
2024-06,Recent cycle,0.9999930436424107,0.9837839045214146,0.016209139120996086,18,0.6,0.6
