Model,AUC,PR_AUC,Brier,LogLoss,Precision,Recall,F1,Accuracy,Sensitivity,Specificity,Youdens_J
probit,0.6994459833795014,0.20497252355846618,0.22542598330050806,0.610182728714455,0.08571428571428572,0.15789473684210525,0.1111111111111111,0.6390977443609023,0.15789473684210525,0.7192982456140351,-0.12280701754385959
random_forest,0.7453831948291783,0.2503884257610718,0.1689084314546965,0.48588779701795715,0.3333333333333333,0.8947368421052632,0.4857142857142857,0.7293233082706767,0.8947368421052632,0.7017543859649122,0.5964912280701755
xgboost,0.7209141274238227,0.2380703170179284,0.17908993099815465,0.5222042587020476,0.1951219512195122,0.42105263157894735,0.26666666666666666,0.6691729323308271,0.42105263157894735,0.7105263157894737,0.13157894736842102
markov_switching,0.5,0.14285714285714285,0.25,0.6931471805599454,0.14285714285714285,1.0,0.25,0.14285714285714285,1.0,0.0,0.0
hamilton_benchmark,0.4822253000923361,0.1786572449264661,0.132122,0.49190165309499034,0.5,0.05263157894736842,0.09523809523809523,0.8571428571428571,0.05263157894736842,0.9912280701754386,0.04385964912280693
chauvet_piger_benchmark,0.6138042474607572,0.22159177785312084,0.13955990466165413,0.646613398834296,0.5,0.05263157894736842,0.09523809523809523,0.8571428571428571,0.05263157894736842,0.9912280701754386,0.04385964912280693
wright_probit,0.7317636195752538,0.22984437762710336,0.2298145155245554,0.6938896642494806,0.21052631578947367,0.42105263157894735,0.2807017543859649,0.6917293233082706,0.42105263157894735,0.7368421052631579,0.1578947368421053
ensemble_raw,0.7179132040627886,0.21838397139009294,0.1862300415189017,0.5263879201478111,0.1388888888888889,0.2631578947368421,0.18181818181818182,0.6616541353383458,0.2631578947368421,0.7280701754385965,-0.00877192982456143
ensemble,0.7179132040627886,0.21838397139009294,0.20713152027852397,0.5732030824808899,0.08823529411764706,0.15789473684210525,0.11320754716981132,0.6466165413533834,0.15789473684210525,0.7280701754385965,-0.11403508771929816
