Recession,Train_End,Test_Months,Recession_Months,AUC,Brier,Peak_Prob,Peak_Date,Crossed_Threshold,Threshold,Lead_Months,Ensemble_Weights,Peak_probit,Peak_random_forest,Peak_xgboost,Peak_markov_switching
Volcker I (1980),1979-01,30,16,0.9017857142857143,0.2679353569082052,0.4,1980-02,True,0.26,6.044678055190539,"{'random_forest': 0.5, 'probit': 0.5}",0.4,0.4,0.23333333134651185,0.4418604651162791
S&L Crisis (1990-91),1989-07,32,13,0.9190283400809717,0.1275772755121976,0.7891205235716314,1991-01,True,0.25,6.964520367936925,"{'probit': 0.5, 'random_forest': 0.5}",0.5804805248041408,0.6,0.341025647521019,0.6
Dot-com (2001),2000-03,32,13,0.9251012145748989,0.28786515964833626,0.2482880677795536,2001-03,False,0.39,,"{'probit': 0.5, 'random_forest': 0.5}",0.3632428022257739,0.23735557446248476,0.21972443014383317,0.6052631578947368
GFC (2007-09),2006-12,42,23,0.9977116704805492,0.07040072025449665,0.7589915966386555,2007-10,True,0.37,2.0039421813403417,"{'probit': 0.5, 'random_forest': 0.5}",0.8285714285714285,0.6894117647058824,0.48825186789035796,0.6111111111111112
COVID (2020),2019-02,26,7,0.6917293233082706,0.2169141926765752,0.75,2020-03,True,0.39,-6.011826544021025,"{'probit': 0.5, 'random_forest': 0.5}",0.8,0.7,0.675,0.6888888888888889
