Recession,Train_End,Error,Test_Months,Recession_Months,AUC,Brier,Peak_Prob,Peak_Date,Crossed_Threshold,Threshold,Lead_Months,Ensemble_Weights,Peak_probit,Peak_random_forest,Peak_xgboost,Peak_markov_switching
Oil Crisis (1973-75),1972-11,"This solver needs samples of at least 2 classes in the data, but the data contains only one class: np.float64(1.0)",,,,,,,,,,,,,,
Volcker I (1980),1979-01,,30.0,16.0,0.9017857142857143,0.30362224438504687,0.375,1980-04,True,0.16,6.964520367936925,"{'random_forest': 0.5, 'probit': 0.5}",0.4,0.35,0.23333333134651185,0.4418604651162791
Volcker II (1981-82),1980-07,,40.0,21.0,0.9749373433583959,0.23011255107989959,0.49851190476190477,1981-09,True,0.4,-6.044678055190539,"{'probit': 0.5, 'random_forest': 0.5}",0.5875,0.4095238095238095,0.40000000074505804,0.47761194029850745
S&L Crisis (1990-91),1989-07,,32.0,13.0,0.9008097165991903,0.14969010467902039,0.7262230649818179,1990-11,True,0.3,4.9605781865965834,"{'probit': 0.5, 'random_forest': 0.5}",0.5684210526315789,0.6,0.34769231379032134,0.6
Dot-com (2001),2000-03,,32.0,13.0,0.9271255060728745,0.2975449358967928,0.22527115474027942,2001-03,False,0.27,,"{'probit': 0.5, 'random_forest': 0.5}",0.32554230948055884,0.2159298749334438,0.22222222238779069,0.6052631578947368
GFC (2007-09),2006-12,,42.0,23.0,1.0,0.06963781958368008,0.7142857142857143,2007-11,True,0.1,1.0183968462549278,"{'probit': 0.5, 'random_forest': 0.5}",0.8333333333333333,0.6133487565066511,0.5127272784709931,0.6111111111111112
COVID (2020),2019-02,,26.0,7.0,0.6428571428571429,0.21945989072609387,0.7623931637177099,2020-03,True,0.43,-4.993429697766097,"{'probit': 0.3333333333333333, 'random_forest': 0.3333333333333333, 'xgboost': 0.3333333333333333}",0.8,0.7538461538461538,0.7333333373069764,0.6888888888888889
