Model,Window_Start,Window_End,Months,Positives,AUC,PR_AUC,Brier,Precision,Recall,F1,Specificity,Youdens_J,TP,FP,FN,TN
ensemble,2017-11-30,2020-10-31,36,7,0.7068965517241379,0.4542483660130719,0.1544833192474618,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2017-12-31,2020-11-30,36,7,0.7068965517241379,0.4542483660130719,0.15445671383736204,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2018-01-31,2020-12-31,36,7,0.7068965517241379,0.4542483660130719,0.1544295871012512,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2018-02-28,2021-01-31,36,7,0.7068965517241379,0.4542483660130719,0.15440246036514035,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2018-03-31,2021-02-28,36,7,0.7068965517241379,0.4542483660130719,0.15438509925402955,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2018-04-30,2021-03-31,36,7,0.7068965517241379,0.4542483660130719,0.15436773814291868,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2018-05-31,2021-04-30,36,7,0.7068965517241379,0.4542483660130719,0.15435037703180787,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2018-06-30,2021-05-31,36,7,0.7068965517241379,0.4542483660130719,0.15433301592069704,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2018-07-31,2021-06-30,36,7,0.7068965517241379,0.4542483660130719,0.1543156548095862,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2018-08-31,2021-07-31,36,7,0.7068965517241379,0.4542483660130719,0.1542921316181529,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2018-09-30,2021-08-31,36,7,0.7068965517241379,0.4542483660130719,0.15426500488204206,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2018-10-31,2021-09-30,36,7,0.7068965517241379,0.4542483660130719,0.1542378781459312,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2018-11-30,2021-10-31,36,7,0.7266009852216748,0.4634453781512605,0.15392697041808484,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2018-12-31,2021-11-30,36,7,0.746305418719212,0.47371553884711776,0.15338305420068865,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2019-01-31,2021-12-31,36,7,0.770935960591133,0.49121315192743764,0.15145681963278768,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2019-02-28,2022-01-31,36,7,0.7955665024630542,0.5119432388339951,0.14880170775007193,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2019-03-31,2022-02-28,36,7,0.8201970443349753,0.5370879120879122,0.14793228437242112,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2019-04-30,2022-03-31,36,7,0.8251231527093597,0.5454212454212455,0.1478607699320607,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2019-05-31,2022-04-30,36,7,0.8423645320197044,0.5638528138528138,0.1477289990987274,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2019-06-30,2022-05-31,36,7,0.8620689655172413,0.5854478854478855,0.14745556159872739,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2019-07-31,2022-06-30,36,7,0.8817733990147782,0.611111111111111,0.1471951449320607,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2019-08-31,2022-07-31,36,7,0.8817733990147782,0.611111111111111,0.14741884256780202,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2019-09-30,2022-08-31,36,7,0.8866995073891626,0.6253968253968254,0.14722553100926264,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
ensemble,2019-10-31,2022-09-30,36,6,0.861111111111111,0.5666666666666667,0.12782193841687894,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.9666666666666667,0.30000000000000004,2,1,4,29
ensemble,2019-11-30,2022-10-31,36,5,0.8580645161290323,0.56,0.10415991223986995,0.6666666666666666,0.4,0.5,0.967741935483871,0.3677419354838709,2,1,3,30
ensemble,2019-12-31,2022-11-30,36,4,0.8671875,0.5681818181818181,0.08093652858892467,0.6666666666666666,0.5,0.5714285714285715,0.96875,0.46875,2,1,2,31
ensemble,2020-01-31,2022-12-31,36,3,0.898989898989899,0.6388888888888888,0.05685067381415777,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9696969696969697,0.6363636363636362,2,1,1,32
ensemble,2020-02-29,2023-01-31,36,2,0.9852941176470589,0.8333333333333333,0.03367311626954554,0.6666666666666666,1.0,0.8,0.9705882352941176,0.9705882352941178,2,1,0,33
ensemble,2020-03-31,2023-02-28,36,1,1.0,1.0,0.023734844664607267,0.5,1.0,0.6666666666666666,0.9714285714285714,0.9714285714285715,1,1,0,34
ensemble,2020-04-30,2023-03-31,36,0,,,0.022517998407153794,0.0,0.0,0.0,0.9722222222222222,-0.02777777777777779,0,1,0,35
ensemble,2020-05-31,2023-04-30,36,0,,,0.011813812527549386,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2020-06-30,2023-05-31,36,0,,,0.0119796146835403,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2020-07-31,2023-06-30,36,0,,,0.012553281950854358,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2020-08-31,2023-07-31,36,0,,,0.013406292784817295,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2020-09-30,2023-08-31,36,0,,,0.014145352695758263,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2020-10-31,2023-09-30,36,0,,,0.014748510249875153,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2020-11-30,2023-10-31,36,0,,,0.015601521083838091,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2020-12-31,2023-11-30,36,0,,,0.016454531917801028,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2021-01-31,2023-12-31,36,0,,,0.017307542751763962,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2021-02-28,2024-01-31,36,0,,,0.018160553585726897,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2021-03-31,2024-02-29,36,0,,,0.019013564419689835,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2021-04-30,2024-03-31,36,0,,,0.01986657525365277,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2021-05-31,2024-04-30,36,0,,,0.02067573299712191,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2021-06-30,2024-05-31,36,0,,,0.022141814968024153,0.0,0.0,0.0,1.0,0.0,0,0,0,36
ensemble,2021-07-31,2024-06-30,36,0,,,0.0260368078927492,0.0,0.0,0.0,0.9722222222222222,-0.02777777777777779,0,1,0,35
ensemble,2021-08-31,2024-07-31,36,0,,,0.029329516212007373,0.0,0.0,0.0,0.9444444444444444,-0.05555555555555558,0,2,0,34
ensemble,2021-09-30,2024-08-31,36,0,,,0.033452635715502714,0.0,0.0,0.0,0.9166666666666666,-0.08333333333333337,0,3,0,33
ensemble,2021-10-31,2024-09-30,36,0,,,0.03666931152991618,0.0,0.0,0.0,0.8888888888888888,-0.11111111111111116,0,4,0,32
ensemble,2021-11-30,2024-10-31,36,0,,,0.03932552480161355,0.0,0.0,0.0,0.8888888888888888,-0.11111111111111116,0,4,0,32
ensemble,2021-12-31,2024-11-30,36,0,,,0.040178535635576475,0.0,0.0,0.0,0.8888888888888888,-0.11111111111111116,0,4,0,32
ensemble,2022-01-31,2024-12-31,36,0,,,0.040251495705020644,0.0,0.0,0.0,0.8888888888888888,-0.11111111111111116,0,4,0,32
ensemble,2022-02-28,2025-01-31,36,0,,,0.04032445577446481,0.0,0.0,0.0,0.8888888888888888,-0.11111111111111116,0,4,0,32
ensemble,2022-03-31,2025-02-28,36,0,,,0.041035184375276354,0.0,0.0,0.0,0.8888888888888888,-0.11111111111111116,0,4,0,32
ensemble,2022-04-30,2025-03-31,36,0,,,0.041886749580155536,0.0,0.0,0.0,0.8888888888888888,-0.11111111111111116,0,4,0,32
ensemble,2022-05-31,2025-04-30,36,0,,,0.043336764999169435,0.0,0.0,0.0,0.8888888888888888,-0.11111111111111116,0,4,0,32
ensemble,2022-06-30,2025-05-31,36,0,,,0.04592311630928911,0.0,0.0,0.0,0.8888888888888888,-0.11111111111111116,0,4,0,32
ensemble,2022-07-31,2025-06-30,36,0,,,0.04757952603020596,0.0,0.0,0.0,0.8888888888888888,-0.11111111111111116,0,4,0,32
ensemble,2022-08-31,2025-07-31,36,0,,,0.04849958814331847,0.0,0.0,0.0,0.8888888888888888,-0.11111111111111116,0,4,0,32
ensemble,2022-09-30,2025-08-31,36,0,,,0.04979697924847303,0.0,0.0,0.0,0.8888888888888888,-0.11111111111111116,0,4,0,32
ensemble,2022-10-31,2025-09-30,36,0,,,0.05193284428483616,0.0,0.0,0.0,0.8888888888888888,-0.11111111111111116,0,4,0,32
ensemble,2022-11-30,2025-10-31,36,0,,,0.052824326411816114,0.0,0.0,0.0,0.8888888888888888,-0.11111111111111116,0,4,0,32
probit,2014-09-30,2017-08-31,36,0,,,0.002398100458814818,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2014-10-31,2017-09-30,36,0,,,0.0024892462921481517,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2014-11-30,2017-10-31,36,0,,,0.0025413296254814845,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2014-12-31,2017-11-30,36,0,,,0.002630390154770577,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2015-01-31,2017-12-31,36,0,,,0.00272153598810391,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2015-02-28,2018-01-31,36,0,,,0.0028126818214372438,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2015-03-31,2018-02-28,36,0,,,0.0028574241578143145,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2015-04-30,2018-03-31,36,0,,,0.002909507491147648,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2015-05-31,2018-04-30,36,0,,,0.0029370829881809803,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2015-06-30,2018-05-31,36,0,,,0.0029576276551601713,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2015-07-31,2018-06-30,36,0,,,0.0029576276551601713,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2015-08-31,2018-07-31,36,0,,,0.002982275976450069,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2015-09-30,2018-08-31,36,0,,,0.003021338476450069,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2015-10-31,2018-09-30,36,0,,,0.0030604009764500693,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2015-11-30,2018-10-31,36,0,,,0.0032827968097834024,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2015-12-31,2018-11-30,36,0,,,0.0038879086924994513,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2016-01-31,2018-12-31,36,0,,,0.0048567358529932785,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2016-02-29,2019-01-31,36,0,,,0.005825563013487106,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2016-03-31,2019-02-28,36,0,,,0.0062771396460508996,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2016-04-30,2019-03-31,36,0,,,0.006499535479384233,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2016-05-31,2019-04-30,36,0,,,0.006935472979384233,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2016-06-30,2019-05-31,36,0,,,0.0079380771460509,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2016-07-31,2019-06-30,36,0,,,0.008940681312717564,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2016-08-31,2019-07-31,36,0,,,0.00994328547938423,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2016-09-30,2019-08-31,36,0,,,0.012656958710786873,0.0,0.0,0.0,1.0,0.0,0,0,0,36
probit,2016-10-31,2019-09-30,36,1,0.9714285714285714,0.5,0.02594128732241973,0.0,0.0,0.0,1.0,0.0,0,0,1,35
probit,2016-11-30,2019-10-31,36,2,0.8529411764705883,0.34090909090909094,0.04790846874673803,0.0,0.0,0.0,1.0,0.0,0,0,2,34
probit,2016-12-31,2019-11-30,36,3,0.797979797979798,0.2987012987012987,0.0702141979134047,0.0,0.0,0.0,1.0,0.0,0,0,3,33
probit,2017-01-31,2019-12-31,36,4,0.765625,0.3037878787878788,0.09251992708007137,0.0,0.0,0.0,1.0,0.0,0,0,4,32
probit,2017-02-28,2020-01-31,36,5,0.7580645161290323,0.315,0.11299492708007136,0.0,0.0,0.0,1.0,0.0,0,0,5,31
probit,2017-03-31,2020-02-29,36,6,0.7916666666666667,0.49216143333790396,0.11601190238871334,1.0,0.16666666666666666,0.2857142857142857,1.0,0.16666666666666674,1,0,5,30
probit,2017-04-30,2020-03-31,36,7,0.8152709359605911,0.6026077097505669,0.11705356905538,1.0,0.2857142857142857,0.4444444444444445,1.0,0.2857142857142856,2,0,5,29
probit,2017-05-31,2020-04-30,36,7,0.7832512315270936,0.44921920185078074,0.13476190238871333,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2017-06-30,2020-05-31,36,7,0.7635467980295567,0.43784013605442174,0.13580356905538,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2017-07-31,2020-06-30,36,7,0.7635467980295567,0.43784013605442174,0.13572146026284226,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2017-08-31,2020-07-31,36,7,0.7635467980295566,0.43784013605442174,0.1356129533183981,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2017-09-30,2020-08-31,36,7,0.7635467980295567,0.43784013605442174,0.13550444637395392,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2017-10-31,2020-09-30,36,7,0.7635467980295567,0.43784013605442174,0.13539593942950978,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2017-11-30,2020-10-31,36,7,0.7635467980295567,0.43784013605442174,0.13532649498506558,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2017-12-31,2020-11-30,36,7,0.7635467980295567,0.43784013605442174,0.13522007334466565,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2018-01-31,2020-12-31,36,7,0.7635467980295567,0.43784013605442174,0.13511156640022148,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2018-02-28,2021-01-31,36,7,0.7635467980295567,0.43784013605442174,0.1350030594557773,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2018-03-31,2021-02-28,36,7,0.7635467980295567,0.43784013605442174,0.13493361501133316,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2018-04-30,2021-03-31,36,7,0.7635467980295567,0.43784013605442174,0.13486417056688899,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2018-05-31,2021-04-30,36,7,0.7635467980295567,0.43784013605442174,0.1347947261224448,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2018-06-30,2021-05-31,36,7,0.7635467980295567,0.43784013605442174,0.13472528167800066,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2018-07-31,2021-06-30,36,7,0.7635467980295567,0.43784013605442174,0.13465583723355648,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2018-08-31,2021-07-31,36,7,0.7635467980295567,0.43784013605442174,0.13456174446782243,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2018-09-30,2021-08-31,36,7,0.7635467980295567,0.43784013605442174,0.13445323752337826,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2018-10-31,2021-09-30,36,7,0.7635467980295566,0.43784013605442174,0.1343447305789341,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2018-11-30,2021-10-31,36,7,0.768472906403941,0.4431032939491586,0.13405289030115655,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
probit,2018-12-31,2021-11-30,36,7,0.7881773399014779,0.455067155067155,0.13337833397399637,0.6666666666666666,0.2857142857142857,0.4,0.9655172413793104,0.2512315270935961,2,1,5,28
